"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2013","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2014","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2015","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2016","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2017","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2018","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2019","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2020","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2021","West Hants, Nova Scotia","2011A00051208001","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844080","212.1.4","","F","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","497","","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","495","","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","483","","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","","F","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","890","","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","","F","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53843682","213.3.2","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","","F","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","","F","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","459","","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","517","","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","531","","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","512","","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843722","213.3.3","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","","F","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","","F","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","","F","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","690","","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","752","","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","","F","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843762","213.3.4","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v53843842","213.2.2","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v53843882","213.2.3","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v53843922","213.2.4","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","497","","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","495","","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","483","","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","","F","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","890","","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","","F","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v53844002","213.1.2","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","","F","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","","F","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","459","","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","517","","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","531","","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","512","","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v53844042","213.1.3","0","","","","0"
"2011","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","","F","","","0"
"2012","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","","F","","","0"
"2013","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","","F","","","0"
"2014","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","","F","","","0"
"2015","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","690","","","","0"
"2016","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","752","","","","0"
"2017","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","","F","","","0"
"2018","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","","F","","","0"
"2019","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","","F","","","0"
"2020","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","0","","","","0"
"2021","Yarmouth, Nova Scotia","2011A00051202004","Apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v53844082","213.1.4","0","","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","452","","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","461","","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","474","","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","453","","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","504","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","467","","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","501","","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","493","","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","526","","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","522","","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3823025","15.3.2","583","","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","555","","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","582","","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","591","","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","570","","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","622","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","629","","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","601","","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","636","","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","644","","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","717","","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823159","15.3.3","752","","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","543","","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","574","","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","587","","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","598","","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","682","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","631","","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","593","","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","698","","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","758","","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","739","","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823293","15.3.4","778","","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","545","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","One bedroom units","Dollars","81","units","0","v3823561","15.2.2","","F","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","594","","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","632","","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","662","","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","","F","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","667","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","","F","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","","F","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","","F","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","728","","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","826","","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823695","15.2.3","755","","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2020","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2021","Bathurst, New Brunswick","2011S0504328","Row structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823829","15.2.4","","F","","","0"
"2011","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","451","","","","0"
"2012","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","460","","","","0"
"2013","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","471","","","","0"
"2014","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","450","","","","0"
"2015","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","502","","","","0"
"2016","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","459","","","","0"
"2017","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","493","","","","0"
"2018","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","493","","","","0"
"2019","Bathurst, New Brunswick","2011S0504328","Apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3824097","15.1.2","522","","","","0"
