"REF_DATE","GEO","DGUID","Type of structure","Type of unit","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","771","","","","0"
"2019","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","831","","","","0"
"2020","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","898","","","","0"
"2021","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","One bedroom units","Dollars","81","units","0","v3822973","128.3.2","976","","","","0"
"2011","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","752","","","","0"
"2012","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","777","","","","0"
"2013","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","790","","","","0"
"2014","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","799","","","","0"
"2015","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","823","","","","0"
"2016","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","850","","","","0"
"2017","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","868","","","","0"
"2018","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","915","","","","0"
"2019","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","946","","","","0"
"2020","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","1038","","","","0"
"2021","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Two bedroom units","Dollars","81","units","0","v3823107","128.3.3","1152","","","","0"
"2011","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","913","","","","0"
"2012","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","926","","","","0"
"2013","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","934","","","","0"
"2014","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","941","","","","0"
"2015","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","978","","","","0"
"2016","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","1068","","","","0"
"2017","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","1043","","","","0"
"2018","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","1124","","","","0"
"2019","Windsor, Ontario","2011S0503559","Row and apartment structures of three units and over","Three bedroom units","Dollars","81","units","0","v3823241","128.3.4","1093","","","","0"
